,date,volumeUSD,feesUSD,tvlUSD,txCount,feeTier
66,2021-07-10,218291580.9312737244865217860810862,109145.7904656368622432608930405429,72227309.98984938551380383258343929,6660,500.0
67,2021-07-11,138392562.0589652353533900973216325,69196.28102948261767669504866081658,73267382.69436382204623596347675303,6095,500.0
68,2021-07-12,194656064.8165773561491689885557809,97328.03240828867807458449427789118,68932840.74312012375448876038834122,5637,500.0
69,2021-07-13,310949764.923214425827472631625335,155474.8824616072129137363158126705,70344422.19124203773728074190422811,10023,500.0
70,2021-07-14,300407712.8664453053030433482998501,150203.856433222652651521674149929,73160538.21643661408982567974041144,9766,500.0
71,2021-07-15,274870836.3526158111071517076807282,137435.4181763079055535758538403624,71631923.81285212553546725617668767,8455,500.0
72,2021-07-16,230224396.9269733285580259970957423,115112.1984634866642790129985478668,77009211.29875338933842331336286299,7377,500.0
73,2021-07-17,198559295.5663058549048272797055483,99279.64778315292745241363985277394,78815033.21976674446047520545413296,7642,500.0
74,2021-07-18,234246786.0222988505981094219390569,117123.393011149425299054710969532,80404608.92478899371274925520106918,7825,500.0
75,2021-07-19,232127850.065664087088776930692929,116063.9250328320435443884653464635,93426863.03306883020230029694385541,7236,500.0
76,2021-07-20,299790276.3464871406520075046036133,149895.1381732435703260037523018034,92999297.97853491911894720633803822,8341,500.0
77,2021-07-21,412368207.4846490339717165408736436,206184.1037423245169858582704368203,104871620.1517373494889028864669818,8229,500.0
78,2021-07-22,370451124.8241676180232219998003308,185225.5624120838090116109999001661,105945379.5232514648516500309791192,6639,500.0
79,2021-07-23,282623825.7764881391547534359968131,141311.9128882440695773767179984086,124903556.4124944135572085452684279,7045,500.0
80,2021-07-24,272515319.8613379756004431641770735,136257.659930668987800221582088537,120452883.5301608441804595408176848,6767,500.0
81,2021-07-25,270626098.2092706452023252741679979,135313.0491046353226011626370839983,122691131.113851671293658483663862,6031,500.0
82,2021-07-26,756431354.6492485250809984733792857,378215.677324624262540499236689646,120750811.311841813168870659370275,9038,500.0
83,2021-07-27,511850481.7671245191475287506148332,255925.2408835622595737643753074164,123882742.0790243914139333284799953,7480,500.0
84,2021-07-28,453976958.0975826408074293151885531,226988.4790487913204037146575942801,126855938.0750070298878041383087968,6921,500.0
85,2021-07-29,268218463.3561449477482449474973188,134109.2316780724738741224737486595,129601705.2606690081276766714771415,6306,500.0
86,2021-07-30,413427216.4831885762839520467459192,206713.6082415942881419760233729605,127410468.8337942737701981407218202,6812,500.0
87,2021-07-31,288088913.7650878109936217488424816,144044.4568825439054968108744212421,112834700.3178623371528965972751397,5861,500.0
88,2021-08-01,409466125.8358801532747184939237965,204733.0629179400766373592469619019,110944431.4330646039030278394878305,7345,500.0
89,2021-08-02,417707293.2581851428896033209586838,208853.6466290925714448016604793406,134750297.171639234565578685051566,6225,500.0
90,2021-08-03,566196308.9212466098230935976793374,283098.1544606233049115467988396725,131532368.5626647210306895015527648,6530,500.0
91,2021-08-04,572381871.3419624997246294569593224,286190.93567098124986231472847966,127242566.7017215217274916641121127,7011,500.0
92,2021-08-05,608151328.8692317670845213944221365,304075.6644346158835422606972110691,126448833.3261249711328460889464596,5889,500.0
93,2021-08-06,469384318.6099091721461163431397064,234692.1593049545860730581715698546,143031139.6212004263322838132057262,5562,500.0
