date,feesUSD,tvlUSD,volumeUSD,txCount
2021-08-22,2638192.354575955637116479186845641,2885788143.840259820442852600681076,1016103571.813217240123770460502899,4738819
2021-08-23,2314485.886813076837192969718034022,2921482699.05757568131165770801848,1243729911.940942385503588999058018,4783309
2021-08-24,2455974.983287688133106872664778237,2845914713.900379922783561373784595,1487850232.891856990884348768918824,4823442
2021-08-25,2414079.27733166381660646739685682,2903593227.683632672496328809051727,1261043362.960433733389252179437732,4863967
2021-08-26,2135326.933829958000864199024049649,2785762972.931844099992294098397055,1214691778.744844407684634139588061,4900207
2021-08-27,1735350.633457106104083256660603213,2891912282.201239428636151397641708,1040992896.615121289855963493155972,4929053
2021-08-28,1134598.528515952183967022312426972,2882863317.426915513307779038841145,589170827.3542010084264881702343929,4957107
2021-08-29,1881880.311675493632573018063863264,2920316202.697274505769684582775164,980680095.3035457032950509627891745,4991020
2021-08-30,2345942.60519774438135266033017875,2896346734.665989890903302863455766,1280117228.950115227106630032147356,5024437
2021-08-31,2914120.313660882481851716453492064,2992527456.235712514285673006759607,1638326253.656685107974193368041895,5057851
2021-09-01,2934232.275369647854966451443571795,2968184420.329632641408489499208677,1760454205.284133717666743178715371,5090163
2021-09-02,2985827.424657409496694272832479316,2917530444.279501606788064894507185,1420976943.829024719717959319518199,5125685
2021-09-03,5116023.48751042720751778291932883,2918565517.783721852527604336877694,1632626566.191969280125670936442527,5165529
2021-09-04,3486153.910185052683708196962240985,2936862501.019205318552401549152125,1177458837.67858025721691805093459,5199400
2021-09-05,3249021.103592431326545257150673604,2972714168.280165374178754891771467,1152404343.299417749722832799095144,5235472
2021-09-06,3630218.523620456121578541779746669,2944095555.413996454859160880950074,1240586106.424950319457236257973493,5272641
2021-09-07,5714948.53265975565214580020380169,2493704800.665514054435804060681047,2523769310.307767746605326624968379,5315223
2021-09-08,4757959.690483976710985606018864875,2519192649.739325817868584235787903,2091653235.921318606969414377869822,5357624
2021-09-09,3141472.641798376473848649679924738,2536719439.317755702974187492435417,1377980968.925689627220471886509999,5392255
2021-09-10,3067228.821189765351109162377825008,2416226395.892280401093223339852231,1438115325.614045065225162036658694,5432154
2021-09-11,1935719.722459941938847777688292929,2451439539.975980271011542102306581,958291591.021639910620905115073201,5469658
